Pathway	Related Pathway
hsa00010	hsa00020
hsa00010	hsa00030
hsa00010	hsa00500
hsa00010	hsa00620
hsa00010	hsa00640
hsa00020	hsa00053
hsa00020	hsa00061
hsa00020	hsa00062
hsa00020	hsa00071
hsa00020	hsa00190
hsa00020	hsa00220
hsa00020	hsa00250
hsa00020	hsa00280
hsa00020	hsa00350
hsa00020	hsa00470
hsa00020	hsa00630
hsa00030	hsa00040
hsa00030	hsa00052
hsa00030	hsa00230
hsa00030	hsa00240
hsa00030	hsa00340
hsa00030	hsa00630
hsa00030	hsa00750
hsa00040	hsa00010
hsa00040	hsa00020
hsa00040	hsa00052
hsa00040	hsa00053
hsa00040	hsa00500
hsa00040	hsa00520
hsa00040	hsa00561
hsa00040	hsa00562
hsa00040	hsa00740
hsa00051	hsa00010
hsa00051	hsa00052
hsa00051	hsa00053
hsa00051	hsa00510
hsa00051	hsa00520
hsa00051	hsa00620
hsa00052	hsa00010
hsa00052	hsa00520
hsa00053	hsa00520
hsa00053	hsa00630
hsa00500	hsa00520
hsa00520	hsa00010
hsa00520	hsa00510
hsa00520	hsa00524
hsa00620	hsa00020
hsa00620	hsa00061
hsa00620	hsa00250
hsa00620	hsa00260
hsa00620	hsa00290
hsa00620	hsa00630
hsa00620	hsa00640
hsa00620	hsa00650
hsa00620	hsa00760
hsa00630	hsa00010
hsa00630	hsa00071
hsa00630	hsa00230
hsa00630	hsa00250
hsa00630	hsa00260
hsa00630	hsa00750
hsa00630	hsa00910
hsa00640	hsa00020
hsa00640	hsa00260
hsa00640	hsa00270
hsa00640	hsa00280
hsa00640	hsa00410
hsa00640	hsa00770
hsa00650	hsa00010
hsa00650	hsa00020
hsa00650	hsa00250
hsa00650	hsa00330
hsa00650	hsa00750
hsa00562	hsa00010
hsa00562	hsa00020
hsa00562	hsa00564
hsa00910	hsa00220
hsa00910	hsa00250
hsa00920	hsa00260
hsa00920	hsa00270
hsa00061	hsa00062
hsa00061	hsa00071
hsa00061	hsa00410
hsa00061	hsa00561
hsa00061	hsa00564
hsa00061	hsa00785
hsa00062	hsa00071
hsa00071	hsa00561
hsa00071	hsa00650
hsa00100	hsa00120
hsa00100	hsa00140
hsa00100	hsa00900
hsa00561	hsa00010
hsa00561	hsa00564
hsa00564	hsa00010
hsa00564	hsa00260
hsa00564	hsa00563
hsa00564	hsa00565
hsa00564	hsa00620
hsa00600	hsa00260
hsa00600	hsa00601
hsa00600	hsa00603
hsa00600	hsa00604
hsa00590	hsa00591
hsa00230	hsa00220
hsa00230	hsa00250
hsa00230	hsa00260
hsa00230	hsa00340
hsa00230	hsa00730
hsa00230	hsa00740
hsa00230	hsa00790
hsa00240	hsa00220
hsa00240	hsa00250
hsa00240	hsa00280
hsa00240	hsa00410
hsa00250	hsa00010
hsa00250	hsa00220
hsa00250	hsa00260
hsa00250	hsa00330
hsa00250	hsa00340
hsa00250	hsa00410
hsa00250	hsa00470
hsa00250	hsa00480
hsa00250	hsa00520
hsa00250	hsa00760
hsa00250	hsa00770
hsa00250	hsa00860
hsa00260	hsa00010
hsa00260	hsa00020
hsa00260	hsa00270
hsa00260	hsa00290
hsa00260	hsa00330
hsa00260	hsa00470
hsa00260	hsa00860
hsa00270	hsa00010
hsa00270	hsa00250
