Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa01100	Metabolic pathways - Homo sapiens (human)	NA	NA	D01392; Mizoribine (JP18/INN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pentose phosphate pathway; Pentose and glucuronate interconversions; Fructose and mannose metabolism; Galactose metabolism; Ascorbate and aldarate metabolism; Fatty acid biosynthesis; Fatty acid elongation; Fatty acid degradation; Steroid biosynthesis; Primary bile acid biosynthesis; Ubiquinone and other terpenoid-quinone biosynthesis; Steroid hormone biosynthesis; Oxidative phosphorylation; Arginine biosynthesis; Purine metabolism; Caffeine metabolism; Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Lysine degradation; Arginine and proline metabolism; Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; beta-Alanine metabolism; Taurine and hypotaurine metabolism; Phosphonate and phosphinate metabolism; Selenocompound metabolism; D-Amino acid metabolism; Glutathione metabolism; Starch and sucrose metabolism; N-Glycan biosynthesis; Other glycan degradation; Mucin type O-glycan biosynthesis; Various types of N-glycan biosynthesis; Other types of O-glycan biosynthesis; Mannose type O-glycan biosynthesis; Amino sugar and nucleotide sugar metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Glycosaminoglycan degradation; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate; Glycosaminoglycan biosynthesis - keratan sulfate; Glycosaminoglycan biosynthesis - heparan sulfate / heparin; Glycerolipid metabolism; Inositol phosphate metabolism; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis; Glycerophospholipid metabolism; Ether lipid metabolism; Arachidonic acid metabolism; Linoleic acid metabolism; alpha-Linolenic acid metabolism; Sphingolipid metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - ganglio series; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; One carbon pool by folate; Thiamine metabolism; Riboflavin metabolism; Vitamin B6 metabolism; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Biotin metabolism; Lipoic acid metabolism; Folate biosynthesis; Retinol metabolism; Porphyrin metabolism; Terpenoid backbone biosynthesis; Nitrogen metabolism; Sulfur metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Drug metabolism - other enzymes; Biosynthesis of unsaturated fatty acids
hsa01200	Carbon metabolism - Homo sapiens (human)	NA	NA	NA	NA
hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	NA	NA	D10901; Enasidenib (USAN/INN); D11044; Enasidenib mesylate (USAN); D11090; Ivosidenib (JAN/USAN/INN); D12483; Olutasidenib (USAN/INN); D12708; Crelosidenib (USAN); D12717; Crelosidenib gentisate (USAN)	Citrate cycle (TCA cycle); Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Lysine degradation; Pyruvate metabolism; Propanoate metabolism
hsa01212	Fatty acid metabolism - Homo sapiens (human)	NA	NA	D05292; Oxfenicine (USAN/INN); D11186; Olumacostat glasaretil (USAN/INN); D11640; Firsocostat (USAN/INN); D11902; Clesacostat (USAN); D11903; Clesacostat tromethamine (USAN); D12391; Denifanstat (USAN/INN)	Citrate cycle (TCA cycle)
hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	NA	NA	D10901; Enasidenib (USAN/INN); D11044; Enasidenib mesylate (USAN); D11695; Pegzilarginase (USAN/INN)	NA
hsa01232	Nucleotide metabolism - Homo sapiens (human)	NA	NA	D11447; Arfolitixorin (USAN/INN); D12387; Fosgemcitabine palabenamide (USAN/INN); D12388; Fosifloxuridine nafalbenamide; D12465; Doxecitine (USAN/INN); D12466; Doxribtimine (USAN/INN); D12528; Arfolitixorin sulfate (JAN)	NA
hsa01250	Biosynthesis of nucleotide sugars - Homo sapiens (human)	NA	NA	NA	NA
hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	NA	NA	NA	NA
hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	HK3; HK1; HK2; HKDC1; GCK; GPI; PFKM; PFKP; PFKL; FBP1; FBP2; ALDOC; ALDOA; ALDOB; TPI1; GAPDH; GAPDHS; PGK2; PGK1; PGAM1; PGAM2; PGAM4; ENO3; ENO2; ENO1; ENO4; PKM; PKLR; PDHA2; PDHA1; PDHB; DLAT; DLD; LDHAL6A; LDHAL6B; LDHA; LDHB; LDHC; ADH1A; ADH1B; ADH1C; ADH7; ADH4; ADH5; ADH6; AKR1A1; ALDH2; ALDH3A2; ALDH1B1; ALDH7A1; ALDH9A1; ALDH3B1; ALDH3B2; ALDH3A1; ACSS1; ACSS2; GALM; PGM1; PGM2; G6PC1; G6PC2; G6PC3; ADPGK; BPGM; MINPP1; PCK1; PCK2	D00123; Cyanamide (JP18); D00131; Disulfiram (JP18/USP/INN); D07257; Lonidamine (INN); D08970; Piragliatin (USAN); D11342; Dorzagliatin (USAN); D11408; Mitapivat sulfate (USAN); D12320; Cadisegliatin (USAN); D12362; Etavopivat (USAN/INN)	Citrate cycle (TCA cycle); Pentose phosphate pathway; Starch and sucrose metabolism; Pyruvate metabolism; Propanoate metabolism
hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	CS; ACLY; ACO2; ACO1; IDH1; IDH2; IDH3B; IDH3G; IDH3A; OGDHL; OGDH; DLST; DLD; SUCLG1; SUCLG2; SUCLA2; SDHA; SDHB; SDHC; SDHD; FH; MDH1; MDH2; PC; PCK1; PCK2; PDHA2; PDHA1; PDHB; DLAT	D10691; Bempedoic acid (JAN/USAN/INN); D11090; Ivosidenib (JAN/USAN/INN); D11834; Vorasidenib (USAN/INN); D11835; Vorasidenib citrate (USAN); D12483; Olutasidenib (USAN/INN); D12708; Crelosidenib (USAN); D12717; Crelosidenib gentisate (USAN)	Glycolysis / Gluconeogenesis; Ascorbate and aldarate metabolism; Fatty acid biosynthesis; Fatty acid elongation; Fatty acid degradation; Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Valine, leucine and isoleucine degradation; Tyrosine metabolism; D-Amino acid metabolism; Glyoxylate and dicarboxylate metabolism
