pathway,mean_activity,std_activity,min_activity,max_activity,n_genes
Glycolysis / Gluconeogenesis - Homo sapiens (human),4.320158944517597e-18,3.791332042683083e-17,-1.2397490441647582e-16,1.5728159515523052e-16,60
Citrate cycle (TCA cycle) - Homo sapiens (human),-1.9281429323751323e-18,5.900954346802483e-17,-2.1492625686843683e-16,3.1966766398689853e-16,29
Pentose phosphate pathway - Homo sapiens (human),-3.888031473108062e-18,3.9554482030510865e-17,-1.4787022181429886e-16,1.3016407874915627e-16,29
Pentose and glucuronate interconversions - Homo sapiens (human),-4.792426723515693e-18,4.742302853637897e-17,-1.734723475976807e-16,1.295260195396016e-16,24
Fructose and mannose metabolism - Homo sapiens (human),-1.9903758170375905e-18,5.115977658107325e-17,-1.5214167374492887e-16,1.4802973661668753e-16,27
Galactose metabolism - Homo sapiens (human),-6.1925481727198746e-18,4.027519800963274e-17,-1.457167719820518e-16,1.214306433183765e-16,28
Ascorbate and aldarate metabolism - Homo sapiens (human),1.0807121690296796e-18,5.4845835308802095e-17,-1.942890293094024e-16,2.169981366312806e-16,22
Fatty acid biosynthesis - Homo sapiens (human),-1.1947317324820811e-18,3.3050049305433555e-17,-9.71445146547012e-17,8.326672684688674e-17,16
Fatty acid elongation - Homo sapiens (human),-1.4773836607176011e-18,3.7906671468344204e-17,-1.4155343563970745e-16,8.604228440844963e-17,20
Fatty acid degradation - Homo sapiens (human),2.2139661483283762e-18,3.0327153323919066e-17,-1.1102230246251565e-16,1.4432899320127036e-16,40
Steroid biosynthesis - Homo sapiens (human),7.364887390441955e-19,4.866322112161385e-17,-1.2335811384723962e-16,2.0970879354030734e-16,18
Primary bile acid biosynthesis - Homo sapiens (human),-2.098253631865221e-18,4.7042655604218494e-17,-1.8239378261699e-16,1.5860328923216522e-16,14
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),1.7306735379005965e-18,3.911527953181912e-17,-8.881784197001253e-17,1.1102230246251565e-16,10
Steroid hormone biosynthesis - Homo sapiens (human),1.3587180644072096e-18,3.1295972243651325e-17,-8.609892844031826e-17,1.4614160222106653e-16,49
Oxidative phosphorylation - Homo sapiens (human),4.6856760286123885e-18,4.953204074806261e-17,-1.7716324861039732e-16,2.066904567121302e-16,94
Arginine biosynthesis - Homo sapiens (human),-5.424827768352522e-18,4.60898979031684e-17,-1.559599010782958e-16,1.8305462965545735e-16,21
Purine metabolism - Homo sapiens (human),-1.657483939152051e-18,3.2766326910004916e-17,-1.3300691681152865e-16,1.582892233128936e-16,101
Caffeine metabolism - Homo sapiens (human),-2.6999587174736298e-19,4.953009738949106e-17,-1.3877787807814457e-16,2.220446049250313e-16,4
Pyrimidine metabolism - Homo sapiens (human),-3.5999449566315344e-20,2.857395585077015e-17,-1.0177044392397268e-16,7.401486830834377e-17,48
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",8.616856884118963e-19,3.3089315438134886e-17,-8.7472117091679e-17,1.5475836100835516e-16,33
"Glycine, serine and threonine metabolism - Homo sapiens (human)",-2.2482195308421586e-18,4.463786918971996e-17,-1.310679959626921e-16,1.159373523111166e-16,36
