pathway,statistic,pvalue,group,n_groups,group_labels,group_sizes,padj,significant
Fatty acid biosynthesis - Homo sapiens (human),2.137357800704148,0.01285639133921273,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Basal transcription factors - Homo sapiens (human),2.07880870061062,0.01599624586428227,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Circadian rhythm - Homo sapiens (human),2.039546942016722,0.01849509674404291,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Selenocompound metabolism - Homo sapiens (human),2.0104730150006893,0.020578469506335035,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Vibrio cholerae infection - Homo sapiens (human),1.9003287780292129,0.03064456814968659,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Bladder cancer - Homo sapiens (human),1.8860034543599584,0.03224901481073496,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Ribosome - Homo sapiens (human),1.8840377428964108,0.03247516995168829,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Non-homologous end-joining - Homo sapiens (human),1.8536055078221059,0.03616955788195558,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Biotin metabolism - Homo sapiens (human),1.8116151354573935,0.041907303167442504,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Synaptic vesicle cycle - Homo sapiens (human),1.7353417173603543,0.0545141933821519,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),1.7105900664834555,0.05929372512607624,ajcc_pathologic_stage,14,"'--,Stage I,Stage IA,Stage II,Stage IIA,Stage IIB,Stage IIC,Stage III,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage IVA,Stage IVB","12,37,1,10,84,4,1,6,2,42,26,18,12,2",0.9226630392067937,False
