pathway,statistic,pvalue,group,n_groups,group_labels,group_sizes,padj,significant
"Valine, leucine and isoleucine degradation - Homo sapiens (human)",5.512786172239194,0.0045324582660871806,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Starch and sucrose metabolism - Homo sapiens (human),4.968544912295948,0.007644132073472083,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Maturity onset diabetes of the young - Homo sapiens (human),4.574750580475878,0.011172697052382911,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Citrate cycle (TCA cycle) - Homo sapiens (human),3.798714794443852,0.023682689423644397,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Non-homologous end-joining - Homo sapiens (human),3.731195211192969,0.025287746575763194,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),3.700680129180406,0.026048692254544852,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Ribosome - Homo sapiens (human),3.56275930548385,0.029786463224977803,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Coronavirus disease - COVID-19 - Homo sapiens (human),3.534475314437006,0.03061742226847949,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Propanoate metabolism - Homo sapiens (human),3.522361377819077,0.03098042883491589,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Thermogenesis - Homo sapiens (human),3.3633650497870344,0.0361673048959291,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Terpenoid backbone biosynthesis - Homo sapiens (human),3.3563974904400244,0.03641364289714804,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Folate biosynthesis - Homo sapiens (human),3.258195382598619,0.04007101194945414,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Fatty acid elongation - Homo sapiens (human),3.0251512363603177,0.05030334645009596,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
beta-Alanine metabolism - Homo sapiens (human),2.9179162059934334,0.05586035585785062,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Arginine biosynthesis - Homo sapiens (human),2.8739594267630477,0.05831338908813617,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Non-alcoholic fatty liver disease - Homo sapiens (human),2.7735937551194185,0.06432924596580357,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Nitrogen metabolism - Homo sapiens (human),2.628979831236496,0.07411488805147035,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Fatty acid degradation - Homo sapiens (human),2.5618089556681833,0.07915770140048287,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human),2.3965783108877776,0.09308462333043531,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Pyruvate metabolism - Homo sapiens (human),2.369230531503187,0.09561723732634793,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Mannose type O-glycan biosynthesis - Homo sapiens (human),2.3204260634410536,0.10031074593632551,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Glutathione metabolism - Homo sapiens (human),2.277000563413881,0.10468190704686149,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Arginine and proline metabolism - Homo sapiens (human),2.217969982469801,0.11093344137428225,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
RNA polymerase - Homo sapiens (human),2.1714210230709483,0.11612748583279127,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Sphingolipid metabolism - Homo sapiens (human),2.1581023083795876,0.11765823407039641,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Spliceosome - Homo sapiens (human),2.071339258558054,0.12814034322123027,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Oxidative phosphorylation - Homo sapiens (human),2.004992043006595,0.13678705224687596,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
SNARE interactions in vesicular transport - Homo sapiens (human),1.9714573158987143,0.14137885137847267,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Butanoate metabolism - Homo sapiens (human),1.9479479386658396,0.14469025707906233,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Tryptophan metabolism - Homo sapiens (human),1.942903102699328,0.1454109719954948,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Vibrio cholerae infection - Homo sapiens (human),1.8859771140766888,0.1537987046647392,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Lipoic acid metabolism - Homo sapiens (human),1.8561373552668132,0.15838854428394067,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Parkinson disease - Homo sapiens (human),1.8371784488731628,0.16137620861904803,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Drug metabolism - other enzymes - Homo sapiens (human),1.8367261280253533,0.161448177742736,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Vitamin digestion and absorption - Homo sapiens (human),1.8355820732836121,0.16163035360448133,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Taurine and hypotaurine metabolism - Homo sapiens (human),1.831574856212424,0.16227008622643957,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Collecting duct acid secretion - Homo sapiens (human),1.8159220348985308,0.1647935323747859,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Caffeine metabolism - Homo sapiens (human),1.7473577151105304,0.17632151781722585,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Galactose metabolism - Homo sapiens (human),1.696467734124258,0.18540050198781594,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Pancreatic secretion - Homo sapiens (human),1.6865678526683918,0.18722069692161183,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Thiamine metabolism - Homo sapiens (human),1.662758760124158,0.19167233825932373,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Fat digestion and absorption - Homo sapiens (human),1.658743526882374,0.1924335207402977,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Huntington disease - Homo sapiens (human),1.6206444182798008,0.19980946338626474,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Renin-angiotensin system - Homo sapiens (human),1.6107625817178783,0.2017686870787488,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Ribosome biogenesis in eukaryotes - Homo sapiens (human),1.5755195853698019,0.20891517298462095,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Biosynthesis of unsaturated fatty acids - Homo sapiens (human),1.5081672149269192,0.22329031535748042,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Histidine metabolism - Homo sapiens (human),1.5057511548823315,0.22382410885102408,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Vasopressin-regulated water reabsorption - Homo sapiens (human),1.50363121618869,0.22429353786936626,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),1.5017878450512139,0.22470253159220013,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Porphyrin metabolism - Homo sapiens (human),1.4416447129951393,0.238467159580597,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
RNA degradation - Homo sapiens (human),1.4334932440903307,0.24039702725625303,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Diabetic cardiomyopathy - Homo sapiens (human),1.428838409869088,0.24150611654674156,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Nucleocytoplasmic transport - Homo sapiens (human),1.4045034429595973,0.24738882961879996,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Glycerolipid metabolism - Homo sapiens (human),1.3851305917737617,0.2521751036860451,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
One carbon pool by folate - Homo sapiens (human),1.3457296839774058,0.2621994570520543,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Fanconi anemia pathway - Homo sapiens (human),1.3421911341940427,0.26311915653960855,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Linoleic acid metabolism - Homo sapiens (human),1.303212515319189,0.27346778817235917,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
Drug metabolism - cytochrome P450 - Homo sapiens (human),1.2471290357625644,0.2890818305465629,gender,3,"'--,female,male","2,117,138",0.9995791442646217,False
