pathway,rank,gene,hub_score,degree,betweenness,expr_variance,pathway_connectivity
Alanine, aspartate and glutamate metabolism - Homo sapiens (human),1,ASS1,0.417126,3,0.021978,1.055981,3
Alanine, aspartate and glutamate metabolism - Homo sapiens (human),2,CPS1,0.344510,2,0.000000,7.804477,2
Alanine, aspartate and glutamate metabolism - Homo sapiens (human),3,ALDH5A1,0.275043,2,0.010989,0.509290,2
Alanine, aspartate and glutamate metabolism - Homo sapiens (human),4,ASL,0.270193,2,0.000000,0.353532,2
Alanine, aspartate and glutamate metabolism - Homo sapiens (human),5,ABAT,0.155087,1,0.000000,2.180990,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),1,GALT,0.404084,2,0.005263,0.251175,2
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),2,GALE,0.203974,1,0.000000,0.398402,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),3,HEXA,0.203970,1,0.000000,0.398053,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),4,GALK1,0.203523,1,0.000000,0.353240,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),5,PGM3,0.202240,1,0.000000,0.224560,1
Arginine and proline metabolism - Homo sapiens (human),1,ALDH4A1,0.416601,5,0.021053,1.031142,5
Arginine and proline metabolism - Homo sapiens (human),2,ALDH3A2,0.324376,4,0.000000,0.438709,4
Arginine and proline metabolism - Homo sapiens (human),3,ALDH7A1,0.323832,4,0.000000,0.384210,4
Arginine and proline metabolism - Homo sapiens (human),4,ALDH2,0.323516,4,0.000000,0.352526,4
Arginine and proline metabolism - Homo sapiens (human),5,ALDH18A1,0.321660,4,0.000000,0.166480,4
Arginine biosynthesis - Homo sapiens (human),1,ASS1,0.426896,4,0.054545,1.055981,4
Arginine biosynthesis - Homo sapiens (human),2,CPS1,0.377843,3,0.000000,7.804477,3
Arginine biosynthesis - Homo sapiens (human),3,OTC,0.365074,3,0.000000,6.524273,3
Arginine biosynthesis - Homo sapiens (human),4,ASL,0.303526,3,0.000000,0.353532,3
Arginine biosynthesis - Homo sapiens (human),5,GLUL,0.106735,1,0.000000,0.675263,1
Ascorbate and aldarate metabolism - Homo sapiens (human),1,ALDH3A2,0.404376,2,0.000000,0.438709,2
Ascorbate and aldarate metabolism - Homo sapiens (human),2,ALDH7A1,0.403832,2,0.000000,0.384210,2
Ascorbate and aldarate metabolism - Homo sapiens (human),3,ALDH2,0.403516,2,0.000000,0.352526,2
Ascorbate and aldarate metabolism - Homo sapiens (human),4,UGT2B15,0.074157,0,0.000000,7.434949,0
Ascorbate and aldarate metabolism - Homo sapiens (human),5,UGT1A10,0.055657,0,0.000000,5.580102,0
Caffeine metabolism - Homo sapiens (human),1,XDH,0.031271,0,0.000000,3.135197,0
Caffeine metabolism - Homo sapiens (human),2,NAT1,0.009042,0,0.000000,0.906552,0
Caffeine metabolism - Homo sapiens (human),3,CYP2A7,0.003655,0,0.000000,0.366401,0
Caffeine metabolism - Homo sapiens (human),4,CYP1A2,0.000753,0,0.000000,0.075527,0
Caffeine metabolism - Homo sapiens (human),5,NAT2,0.000000,0,0.000000,0.000000,0
Citrate cycle (TCA cycle) - Homo sapiens (human),1,FH,0.464731,6,0.209150,0.199097,6
Citrate cycle (TCA cycle) - Homo sapiens (human),2,PC,0.359362,4,0.287582,0.643714,4
Citrate cycle (TCA cycle) - Homo sapiens (human),3,SDHA,0.269375,4,0.000000,0.271504,4
Citrate cycle (TCA cycle) - Homo sapiens (human),4,SDHB,0.268711,4,0.000000,0.204983,4
Citrate cycle (TCA cycle) - Homo sapiens (human),5,SDHD,0.268461,4,0.000000,0.179865,4
Cysteine and methionine metabolism - Homo sapiens (human),1,DNMT3B,0.410509,2,0.000000,1.053621,2
Cysteine and methionine metabolism - Homo sapiens (human),2,DNMT3A,0.404494,2,0.000000,0.450540,2
Cysteine and methionine metabolism - Homo sapiens (human),3,DNMT1,0.402865,2,0.000000,0.287290,2
Cysteine and methionine metabolism - Homo sapiens (human),4,SRM,0.202995,1,0.000000,0.300311,1
Cysteine and methionine metabolism - Homo sapiens (human),5,SMS,0.202811,1,0.000000,0.281797,1
D-Amino acid metabolism - Homo sapiens (human),1,DDO,0.029621,0,0.000000,2.969817,0
D-Amino acid metabolism - Homo sapiens (human),2,GLS2,0.017571,0,0.000000,1.761660,0
D-Amino acid metabolism - Homo sapiens (human),3,DAO,0.012069,0,0.000000,1.210025,0
D-Amino acid metabolism - Homo sapiens (human),4,SRR,0.003907,0,0.000000,0.391693,0
D-Amino acid metabolism - Homo sapiens (human),5,GLS,0.003058,0,0.000000,0.306637,0
Fatty acid biosynthesis - Homo sapiens (human),1,ACSL6,0.078061,0,0.000000,7.826343,0
Fatty acid biosynthesis - Homo sapiens (human),2,ACACB,0.010760,0,0.000000,1.078778,0
Fatty acid biosynthesis - Homo sapiens (human),3,ACSL1,0.009049,0,0.000000,0.907213,0
Fatty acid biosynthesis - Homo sapiens (human),4,ACSL4,0.006674,0,0.000000,0.669113,0
Fatty acid biosynthesis - Homo sapiens (human),5,ACSBG2,0.006291,0,0.000000,0.630742,0
Fatty acid degradation - Homo sapiens (human),1,ACADSB,0.432083,4,0.095238,0.352069,4
Fatty acid degradation - Homo sapiens (human),2,GCDH,0.335988,3,0.114286,0.170688,3
Fatty acid degradation - Homo sapiens (human),3,ALDH7A1,0.329546,3,0.085714,0.384210,3
Fatty acid degradation - Homo sapiens (human),4,ALDH2,0.314945,3,0.038095,0.352526,3
Fatty acid degradation - Homo sapiens (human),5,ACADL,0.210765,2,0.000000,1.079319,2
Fatty acid elongation - Homo sapiens (human),1,HADHB,0.401734,1,0.000000,0.173822,1
Fatty acid elongation - Homo sapiens (human),2,HADHA,0.401172,1,0.000000,0.117518,1
Fatty acid elongation - Homo sapiens (human),3,ELOVL2,0.020159,0,0.000000,2.021100,0
Fatty acid elongation - Homo sapiens (human),4,ELOVL4,0.012844,0,0.000000,1.287733,0
Fatty acid elongation - Homo sapiens (human),5,ELOVL5,0.011802,0,0.000000,1.183291,0
Fructose and mannose metabolism - Homo sapiens (human),1,GFUS,0.400000,1,0.000000,0.000000,1
Fructose and mannose metabolism - Homo sapiens (human),2,FCSK,0.400000,1,0.000000,0.000000,1
Fructose and mannose metabolism - Homo sapiens (human),3,AKR1B10,0.069991,0,0.000000,7.017276,0
Fructose and mannose metabolism - Homo sapiens (human),4,ALDOB,0.069765,0,0.000000,6.994548,0
Fructose and mannose metabolism - Homo sapiens (human),5,HK3,0.032957,0,0.000000,3.304245,0
Galactose metabolism - Homo sapiens (human),1,GALT,0.407505,3,0.016667,0.251175,3
Galactose metabolism - Homo sapiens (human),2,GALE,0.270640,2,0.000000,0.398402,2
Galactose metabolism - Homo sapiens (human),3,GALM,0.270623,2,0.000000,0.396658,2
Galactose metabolism - Homo sapiens (human),4,SI,0.269167,2,0.008333,0.000000,2
Galactose metabolism - Homo sapiens (human),5,MGAM,0.156397,1,0.000000,2.312393,1
Glutathione metabolism - Homo sapiens (human),1,RRM2B,0.408922,2,0.019048,0.321641,2
Glutathione metabolism - Homo sapiens (human),2,SMS,0.408525,2,0.019048,0.281797,2
Glutathione metabolism - Homo sapiens (human),3,IDH2,0.204177,1,0.000000,0.418805,1
Glutathione metabolism - Homo sapiens (human),4,SRM,0.202995,1,0.000000,0.300311,1
Glutathione metabolism - Homo sapiens (human),5,IDH1,0.202438,1,0.000000,0.244471,1
Glycine, serine and threonine metabolism - Homo sapiens (human),1,GLDC,0.445604,2,0.000000,4.572188,2
Glycine, serine and threonine metabolism - Homo sapiens (human),2,CBS,0.434200,2,0.006536,3.232284,2
Glycine, serine and threonine metabolism - Homo sapiens (human),3,CBS,0.434200,2,0.006536,3.232284,2
Glycine, serine and threonine metabolism - Homo sapiens (human),4,AMT,0.427151,2,0.000000,2.722173,2
Glycine, serine and threonine metabolism - Homo sapiens (human),5,GCSH,0.411872,2,0.000000,1.190238,2
Glycolysis / Gluconeogenesis - Homo sapiens (human),1,ALDH2,0.405362,3,0.006154,0.352526,3
Glycolysis / Gluconeogenesis - Homo sapiens (human),2,PDHA1,0.271460,2,0.003077,0.387985,2
Glycolysis / Gluconeogenesis - Homo sapiens (human),3,ALDH3A2,0.271042,2,0.000000,0.438709,2
Glycolysis / Gluconeogenesis - Homo sapiens (human),4,ALDH7A1,0.270499,2,0.000000,0.384210,2
Glycolysis / Gluconeogenesis - Homo sapiens (human),5,LDHA,0.270457,2,0.003077,0.287477,2
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),1,CHST13,0.027358,0,0.000000,2.742920,0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),2,UST,0.026673,0,0.000000,2.674225,0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),3,DSEL,0.017564,0,0.000000,1.760909,0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),4,CHST11,0.016940,0,0.000000,1.698406,0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),5,CHST3,0.016250,0,0.000000,1.629233,0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),1,EXT1,0.402379,1,0.000000,0.238550,1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),2,EXT2,0.401221,1,0.000000,0.122443,1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),3,HS6ST2,0.071342,0,0.000000,7.152691,0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),4,HS3ST2,0.032760,0,0.000000,3.284471,0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),5,HS3ST5,0.020612,0,0.000000,2.066569,0
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),1,CHST4,0.081211,0,0.000000,8.142181,0
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),2,B3GNT7,0.043260,0,0.000000,4.337247,0
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),3,CHST6,0.024261,0,0.000000,2.432427,0
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),4,ST3GAL1,0.017824,0,0.000000,1.787039,0
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),5,CHST1,0.014638,0,0.000000,1.467634,0
Glycosaminoglycan degradation - Homo sapiens (human),1,SGSH,0.412904,2,0.035714,0.219517,2
Glycosaminoglycan degradation - Homo sapiens (human),2,HEXA,0.403970,2,0.000000,0.398053,2
Glycosaminoglycan degradation - Homo sapiens (human),3,HEXB,0.401627,2,0.000000,0.163112,2
Glycosaminoglycan degradation - Homo sapiens (human),4,GLB1,0.401519,2,0.000000,0.152290,2
Glycosaminoglycan degradation - Homo sapiens (human),5,IDUA,0.206409,1,0.000000,0.642564,1
Histidine metabolism - Homo sapiens (human),1,ALDH2,0.424945,3,0.071429,0.352526,3
Histidine metabolism - Homo sapiens (human),2,ALDH3A2,0.271042,2,0.000000,0.438709,2
Histidine metabolism - Homo sapiens (human),3,ALDH7A1,0.270499,2,0.000000,0.384210,2
Histidine metabolism - Homo sapiens (human),4,MAOB,0.175860,1,0.000000,4.263673,1
Histidine metabolism - Homo sapiens (human),5,MAOA,0.151016,1,0.000000,1.772818,1
Lysine degradation - Homo sapiens (human),1,KMT2A,0.408000,4,0.026667,0.000000,4
Lysine degradation - Homo sapiens (human),2,EHMT1,0.307267,3,0.020000,0.127049,3
Lysine degradation - Homo sapiens (human),3,ALDH7A1,0.305832,3,0.006667,0.384210,3
Lysine degradation - Homo sapiens (human),4,KMT2D,0.302000,3,0.006667,0.000000,3
Lysine degradation - Homo sapiens (human),5,ALDH3A2,0.204376,2,0.000000,0.438709,2
Mannose type O-glycan biosynthesis - Homo sapiens (human),1,POMT1,0.532917,10,0.436364,0.201281,10
Mannose type O-glycan biosynthesis - Homo sapiens (human),2,FKTN,0.242502,6,0.000000,0.250842,6
Mannose type O-glycan biosynthesis - Homo sapiens (human),3,LARGE1,0.240000,6,0.000000,0.000000,6
Mannose type O-glycan biosynthesis - Homo sapiens (human),4,B4GAT1,0.240000,6,0.000000,0.000000,6
Mannose type O-glycan biosynthesis - Homo sapiens (human),5,RXYLT1,0.240000,6,0.000000,0.000000,6
Mucin type O-glycan biosynthesis - Homo sapiens (human),1,GCNT3,0.443667,2,0.000000,4.378014,2
Mucin type O-glycan biosynthesis - Homo sapiens (human),2,GALNT7,0.404105,2,0.000000,0.411605,2
Mucin type O-glycan biosynthesis - Homo sapiens (human),3,B4GALT5,0.402369,2,0.000000,0.237508,2
Mucin type O-glycan biosynthesis - Homo sapiens (human),4,B3GNT6,0.115334,0,0.000000,11.563272,0
Mucin type O-glycan biosynthesis - Homo sapiens (human),5,GALNT8,0.054644,0,0.000000,5.478573,0
N-Glycan biosynthesis - Homo sapiens (human),1,ALG9,0.420752,10,0.066176,0.090118,10
N-Glycan biosynthesis - Homo sapiens (human),2,DPM1,0.364568,9,0.000000,0.458025,9
N-Glycan biosynthesis - Homo sapiens (human),3,DPM3,0.364062,9,0.000000,0.407301,9
N-Glycan biosynthesis - Homo sapiens (human),4,ALG13,0.362122,9,0.000000,0.212751,9
N-Glycan biosynthesis - Homo sapiens (human),5,ALG1,0.361728,9,0.000000,0.173233,9
Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human),1,HKDC1,0.013017,0,0.000000,1.305038,0
Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human),2,GCK,0.007472,0,0.000000,0.749140,0
Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human),3,HK2,0.006582,0,0.000000,0.659954,0
Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human),4,HOOK3,0.004776,0,0.000000,0.478854,0
Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human),5,HK1,0.002724,0,0.000000,0.273141,0
Other glycan degradation - Homo sapiens (human),1,GLB1,0.487233,5,0.285714,0.152290,5
Other glycan degradation - Homo sapiens (human),2,NEU4,0.190744,2,0.000000,3.082385,2
Other glycan degradation - Homo sapiens (human),3,HEXA,0.163970,2,0.000000,0.398053,2
Other glycan degradation - Homo sapiens (human),4,HEXB,0.161627,2,0.000000,0.163112,2
Other glycan degradation - Homo sapiens (human),5,NEU2,0.160000,2,0.000000,0.000000,2
Other types of O-glycan biosynthesis - Homo sapiens (human),1,POMT1,0.410341,2,0.027778,0.201281,2
Other types of O-glycan biosynthesis - Homo sapiens (human),2,POMT2,0.202309,1,0.000000,0.231540,1
Other types of O-glycan biosynthesis - Homo sapiens (human),3,POFUT2,0.201860,1,0.000000,0.186508,1
Other types of O-glycan biosynthesis - Homo sapiens (human),4,POGLUT1,0.200000,1,0.000000,0.000000,1
